search_method,trial,experiment_id,val_accuracy,val_f1,best_so_far_accuracy,cumulative_runtime_minutes,cumulative_runtime_hours
random,1,random_001,0.5242751240730286,0.49714577198028564,0.5242751240730286,0.9166666666666666,0.015277777777777777
random,2,random_002,0.47310519218444824,0.44441714882850647,0.5242751240730286,1.3833333333333333,0.023055555555555555
random,3,random_003,0.46983104944229126,0.45924848318099976,0.5242751240730286,10.1,0.16833333333333333
random,4,random_004,0.46048229932785034,0.4334520101547241,0.5242751240730286,12.333333333333332,0.20555555555555555
random,5,random_005,0.5671330690383911,0.5226061940193176,0.5671330690383911,57.71666666666667,0.9619444444444445
random,6,random_006,0.5164362788200378,0.4748119115829468,0.5671330690383911,95.41666666666667,1.590277777777778
random,7,random_007,0.3374180495738983,0.3055844008922577,0.5671330690383911,133.85,2.2308333333333334
random,8,random_008,0.5882553458213806,0.5630835890769958,0.5882553458213806,151.51666666666665,2.5252777777777777
random,9,random_009,0.2241087108850479,0.18642202019691467,0.5882553458213806,152.83333333333331,2.547222222222222
random,10,random_010,0.7062333226203918,0.6720418930053711,0.7062333226203918,185.91666666666666,3.098611111111111
bayesian,1,bayes_001,0.20253044366836548,0.16882012784481049,0.20253044366836548,2.033333333333333,0.033888888888888885
bayesian,2,bayes_002,0.5164362788200378,0.4748119115829468,0.5164362788200378,39.983333333333334,0.6663888888888889
bayesian,3,bayes_003,0.5882553458213806,0.5630835890769958,0.5882553458213806,57.61666666666667,0.9602777777777778
bayesian,4,bayes_004,0.46048229932785034,0.4334520101547241,0.5882553458213806,59.916666666666664,0.9986111111111111
bayesian,5,bayes_005,0.5317343473434448,0.49259859323501587,0.5882553458213806,98.51666666666667,1.6419444444444444
bayesian,6,bayes_006,0.5242751240730286,0.49714577198028564,0.5882553458213806,99.43333333333334,1.6572222222222224
bayesian,7,bayes_007,0.3374180495738983,0.3055844008922577,0.5882553458213806,138.1,2.3016666666666667
bayesian,8,bayes_008,0.38553929328918457,0.37460315227508545,0.5882553458213806,138.79999999999998,2.313333333333333
bayesian,9,bayes_009,0.6670119762420654,0.6321578025817871,0.6670119762420654,140.11666666666665,2.3352777777777773
bayesian,10,bayes_010,0.7159054279327393,0.676556408405304,0.7159054279327393,184.08333333333331,3.068055555555555
llm_metrics,1,llm_metrics_001,0.47310519218444824,0.44441714882850647,0.47310519218444824,0.5166666666666667,0.008611111111111113
llm_metrics,2,llm_metrics_002,0.5242751240730286,0.49714577198028564,0.5242751240730286,1.4666666666666668,0.024444444444444446
llm_metrics,3,llm_metrics_003,0.38553929328918457,0.37460315227508545,0.5242751240730286,2.2,0.03666666666666667
llm_metrics,4,llm_metrics_004,0.6670119762420654,0.6321578025817871,0.6670119762420654,3.6,0.060000000000000005
llm_metrics,5,llm_metrics_005,0.6005151271820068,0.5771834254264832,0.6670119762420654,7.083333333333334,0.11805555555555557
llm_metrics,6,llm_metrics_006,0.5882553458213806,0.5630835890769958,0.6670119762420654,24.733333333333334,0.4122222222222222
llm_metrics,7,llm_metrics_007,0.46983104944229126,0.45924848318099976,0.6670119762420654,33.7,0.5616666666666668
llm_metrics,8,llm_metrics_008,0.5164362788200378,0.4748119115829468,0.6670119762420654,72.06666666666666,1.201111111111111
llm_metrics,9,llm_metrics_009,0.46048229932785034,0.4334520101547241,0.6670119762420654,74.43333333333332,1.2405555555555554
llm_metrics,10,llm_metrics_010,0.7037959694862366,0.6656411290168762,0.7037959694862366,118.54999999999998,1.975833333333333
llm_summary,1,llm_summary_001,0.47310519218444824,0.44441714882850647,0.47310519218444824,0.5333333333333333,0.008888888888888889
llm_summary,2,llm_summary_002,0.5242751240730286,0.49714577198028564,0.5242751240730286,1.4666666666666668,0.024444444444444446
llm_summary,3,llm_summary_003,0.6005151271820068,0.5771834254264832,0.6005151271820068,4.95,0.0825
llm_summary,4,llm_summary_004,0.6670119762420654,0.6321578025817871,0.6670119762420654,6.35,0.10583333333333332
llm_summary,5,llm_summary_005,0.38553929328918457,0.37460315227508545,0.6670119762420654,7.1,0.11833333333333333
llm_summary,6,llm_summary_006,0.20253044366836548,0.16882012784481049,0.6670119762420654,8.85,0.1475
llm_summary,7,llm_summary_007,0.5286952257156372,0.48877620697021484,0.6670119762420654,55.71666666666667,0.9286111111111112
llm_summary,8,llm_summary_008,0.5882553458213806,0.5630835890769958,0.6670119762420654,73.3,1.2216666666666667
llm_summary,9,llm_summary_009,0.5164362788200378,0.4748119115829468,0.6670119762420654,109.91666666666666,1.8319444444444444
llm_summary,10,llm_summary_010,0.71478670835495,0.6703934073448181,0.71478670835495,166.2,2.77
